Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
,,,,,,Gopherus,flavomarginatus,,Testudinidae,,,,,296.6,338.4,,,,,,,,,"Germano, 1993; Germano, 1994; Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,yes,,,,,Gopherus,polyphemus,gopher tortoise,Testudinidae,3330.5,3901.3,"16M, 22F","large island in Walter F. George Reservoir, the border between Alabama and Georgia",251.25,279.5,,,,,,,,"Ennen, J.R., R.D. Birkhead, B.R. Kreiser, D.L. Gaillard, C.P. Qualls, and J.E. Lovich. 2011. The Effects of Isolation on the Demography and Genetic Diversity of Long-lived Species: Implications for Conservation and Management of the Gopher Tortoise (Gopherus polyphemus). Herpetological Conservation and Biology 6(2): 202-214.",,,,,,,,,
,,,,,,Gopherus,polyphemus,gopher tortoise,Testudinidae,2870,3623.2,"4M, 5F","small island in Walter F. George Reservoir, the border between Alabama and Georgia",250.73,269.5,,,,,,,"note: 6 females had CL and PL data, only 5 had mass","Ennen, J.R., R.D. Birkhead, B.R. Kreiser, D.L. Gaillard, C.P. Qualls, and J.E. Lovich. 2011. The Effects of Isolation on the Demography and Genetic Diversity of Long-lived Species: Implications for Conservation and Management of the Gopher Tortoise (Gopherus polyphemus). Herpetological Conservation and Biology 6(2): 202-214.",,,,,,,,,
,,,,,,Gopherus,polyphemus,Florida gopher tortoise,Testudinidae,2872.2,3680,"9M, 17F","Jackson County, George County, Greene County, and Wayne County, Mississippi",243.56,267.76,3600,4500,4500,264,294,294,,"Thomas, D., and E. Blankenship. 2002. Mycoplasma Testing in the Gopher Tortoise, Gopherus polyphemus, Along a Pipeline Transect in Mississippi. Herpetological Review 33(2): 101-103.",,,,,,,,,
,,,,,,Gopherus,polyphemus,,Testudinidae,,,,,239.7,253,,,,272.3,313.6,,,,"McRae et al., 1981; Gibbons & Lovich, 1990; Germano, 1993; Germano 1994; Mushinsky et al., 1994; Aresco & Guyer, 1999","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Gopherus ,agassizii,,Testudinidae,,,"106M, F97",,299,248,,,,,,,,,Christopher et al. 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Gopherus ,berlandieri,,Testudinidae,,,"145M, F146",,178,161,,,,,,,,,Kazmaier et al. 2001,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Gopherus ,flavomarginatus,,Testudinidae,,,"15M, F19",,319,370,,,,,,,,,Germano 1993,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Gopherus ,polyphemus,,Testudinidae,,,"67M, F113",,285,307,,,,,,,,,Diemer 1992,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Graptemys,flavimaculata,yellow-blotched map turtles,Emydidae,154,1135,"7M, 8F","Pascagoula River, Jackson County, Mississippi",,,179,1495,1495,,,,,"Jones, R.L. 1996. Home Range and Seasonal Movements of the Turtle Graptemys flavimaculata. Journal of Herpetology 30(3): 376-385.",,,,,,,,,
,yes,,,,,Graptemys,flavimaculata,yellow-blotched map turtles,Emydidae,225,1675,,Mississippi,119,214,,,,,,,,"Selman, W., and R.L. Jones. 2011. Graptemys flavimaculata Cagle 1954-Yellow-blotched Sawback, Yellow-blotched Map Turtle. Chelonian Research Monographs No. 5: 52.1-52.11.",,,,,,,,,
,,,,,,Graptemys,flavimaculata,yellow-blotched sawback,Emydidae,88.5,505.6,"58M, 48F","Chickasawhawhay River, Greene County, Mississippi",,,210,1050,,,,,,"Selman, W. 2012. Intradrainage Varation in Population Structure, shape Morphology, and Sexual Size Dimorphism in the Yellow-blotched Sawback, Graptemys flavimaculata. Herpetological Conservation and Biology 7(3): 427-436.",,,,,,,,,
,,,,,,Graptemys,flavimaculata,yellow-blotched sawback,Emydidae,118.9,591.5,"78M, 42F","Leaf River, Forrest County, Mississippi",,,250,950,,,,,,"Selman, W. 2012. Intradrainage Varation in Population Structure, shape Morphology, and Sexual Size Dimorphism in the Yellow-blotched Sawback, Graptemys flavimaculata. Herpetological Conservation and Biology 7(3): 427-436.",,,,,,,,,
,,,,,,Graptemys,flavimaculata,yellow-blotched sawback,Emydidae,145.5,900.3,"132M, 82F","Pascagoula River, Jackson County, Mississippi",,,220,1550,,,,,,"Selman, W. 2012. Intradrainage Varation in Population Structure, shape Morphology, and Sexual Size Dimorphism in the Yellow-blotched Sawback, Graptemys flavimaculata. Herpetological Conservation and Biology 7(3): 427-436.",,,,,,,,,
,yes,,,,,Graptemys,geographica,,Emydidae,188,1899,"1M, 2F",,,,,,,,,,,"Graham, T.E., and R.W. Guimond. 1995. Aquatic Oxygen Consumption by Wintering Red-bellied Turtles. Journal of Herpetology 29(3): 471-474.",,,,,,,,,
,,,,,,Graptemys,geographica,northern map turtle,Emydidae,141.98,368.16,"5M, 5F","Point Pleasant, Bucks County, Pennsylvania",103.48,138.7,174.3,807.6,807.6,117,180,180,,"Arndt, R.G., and W.A. Potter. 1973. A Population of the Map Turtle, Graptemys geographica, in the Delaware River, Pennsylvania. Journal of Herpetology 7(4): 375-377.",,,,,,,,,
,yes,,,,,Graptemys,gibbonsi,Pascagoula map turtle,Emydidae,340,3150,,Mississippi and eastern Louisiana,141,295,,,,,,,,"Lovich, J.E., W. Selman, and C.J. McCoy. 2009. Graptemys gibbonsi Lovich and McCoy 1992- Pascagoula Map Turtle, Pearl River Map Turtle, Gibbons' Map Turtle. Chelonian Research Monographs 5: 29.1-29.8.",,,,,,,,,
yes,,,,,,Graptemys ,barbouri,,Emydidae,,,,,105.9,246.6,,,,130,300,,,,"Sanderson & Lovich, 1988; Gibbons & Lovich, 1990; Bonin et al., 2006; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,barbouri,,Emydidae,,,"?M, F?",,130,330,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Graptemys ,caglei,,Emydidae,,,,,96.6,177,,,,,,,,,"Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Graptemys ,caglei,,Emydidae,,,"?M, F?",,126,202,,,,,,,,,Conant and Collins 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Graptemys ,ernsti,,Emydidae,,,,,100,254,,,,,,,,,"Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,ernsti,,Emydidae,,,"?M, F?",,131,285,,,,,,,,,Aresco and Shealy 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Graptemys ,flavimaculata,,Emydidae,,,,,102.1,155.5,,,,123,223,,,,"Shelby et al., 2000; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Graptemys ,flavimaculata,,Emydidae,,,"?M, F?",,102,175,,,,,,,,,Conant and Collins 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Graptemys ,geographica,,Emydidae,,,,,116.1,208.2,,,,160,273,,,,"Bonin et al., 2006; Ernst et al., 2007; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,geographica,,Emydidae,,,"?M, F?",,159,273,,,,,,,,,Conant and Collins 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Graptemys ,gibbonsi,,Emydidae,,,,,103,247.4,,,,,,,,,"Stephens & Wiens, 2009 ","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,gibbonsi,,Emydidae,,,"?M, F?",,141,295,,,,,,,,,Ernst and Lovich 2009,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Graptemys ,nigrinoda,,Emydidae,,,,,99.4,161.3,,,,120,221,,,,"Bonin et al., 2006; Ernst et al., 2007; Stephens & Wiens, 2009 ","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Graptemys ,nigrinoda,,Emydidae,,,"?M, F?",,122,221,,,,,,,,,Lahanas 1982,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Graptemys ,oculifera,,Emydidae,,,,,91.1,160.3,,,,,,,,,"Bonin et al., 2006; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,oculifera,,Emydidae,,,"?M, F?",,102,216,,,,,,,,,Conant and Collins 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Graptemys ,ouachitensis,,Emydidae,,,,,120.7,207.4,,,,160,260,,,,"Vogt, 1980; Ernst et al., 2007; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Graptemys ,ouachitensis,,Emydidae,,,"?M, F?",,140,240,,,,,,,,,Ernst and Barbour 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Graptemys ,ouachitensis  ssp sabinensis ,,Emydidae,,,,,,,,,,106,155,,,,"Vogt, 1995","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,pseudogeographica,,Emydidae,,,,,126.4,201.5,,,,150,273.5,,,,"Gibbons & Lovich, 1990; Ewert & Nelson, 1991; Vogt, 1995; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Graptemys ,pseudogeographica,,Emydidae,,,"36M, F36",,148,272,,,,,,,,,Timkin 1966,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Graptemys ,pulchra,,Emydidae,,,,,118.6,255.3,,,,273,292,,,,"Lovich, 1985; Gibbons & Lovich, 1990; Bonin et al., 2006; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,pulchra,,Emydidae,,,"~ 189M, F~ 189",,120,285,,,,,,,,,Shealy 1976,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Graptemys ,versa,,Emydidae,,,,,88.7,145.6,,,,106,155,,,,"Vogt, 1981; Lindeman, 2005; Ernst et al., 2007; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Graptemys ,versa,,Emydidae,,,"51M, F42",,112,183,,,,,,,,,Lindeman 2005,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Hardella,thurjii,,Geoemydidae,,,"12M, F13",,204,472,,,,,,,,,Rashid and Swingland 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Hardella ,thurjii,Crowned River Turtle,Geoemydidae,790.3,6300,"12M, 13F",Bangladesh,183,362,,,,,,,,"Das, I., and S. Bhupathy. 2009. Hardella thurjii (Gray 1831)- Crowned River Turtle. Chelonian Research Monographs No. 5: 23.1-23.6.",,,,,,,,,
,,,,,,Hardella ,thurjii,Brahminy river turtle,Geoemydidae,8500,10500,,"Orang National Park, Assam state, India",159,631.5,,,,168,653,653,CL are midpoint of range,"Baruah, C., P. Chetia, S.K. Bhuyan, and D.K. Sharma. 2012. Diversity of Freshwater Turtles and Their Possible Conservation in and Around the Orang National Park, Assam India. Tigerpaper 39(1): 24-30.",,,,,,,,,
,,,,,,Hardella ,thurjii,,Geoemydidae,,,,,,,,,,180,610,,,,"Das, 1991","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,yes,,,yes,,Heosemys,grandis,giant Asian pond turtle,Geoemydidae,7060,4600.78,"1M, 9F",,368,284.74,,5160,,,295,,note: captive raised weights,"Goode, J.M., and M.A. Ewert. 2006. Reproductive Trends in Captive Heosemys grandi (Geoemydidae). Chelonian Conservation and Biology 5(1): 165-169.",,,,,,,,,
yes,,,,,,Heosemys ,annandalii,,Geoemydidae,,,,,412.1,364,,,,444.6,420,,,,"Platt et al., 2008","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Heosemys ,depressa,,Geoemydidae,,,,,234,237,,,,270,259,,,,"Platt et al., 2003","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,yes,,,Homopus,areolatus,,Testudinidae,,,,,,,,,,100,120,,,,"Boycott & Bourquin, 2000; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Homopus,solus,Nama Padloper,Testudinidae,66.3,169,< 10,Namibia,,,,,,,,,,"Schleicher, A. and V.J.T. Loehr. 2001. Husbandry, behavior, and captive breeding of the Nama Padloper, Homopus bergeri, from southwestern Namibia. Chelonian Conservation and Biology 4:165-170.",,,,,,,,,
,,,,,,Homopus,boulengeri,,Testudinidae,,,,,,,,,,90,110,,,,"Boycott & Bourquin, 2000; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Homopus,boulengeri,,Testudinidae,,,"?M, F?",,90,110,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,yes,,,Homopus,femoralis,,Testudinidae,,,,,,,,,,111,154,,,,"Boycott & Bourquin, 2000; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Homopus,femoralis,,Testudinidae,,,"?M, F?",,111,153,,,,,,,,,Bonin et al. 2006,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Homopus,signatus,Namaqualand speckled tortoise,Testudinidae,96,163,"27M, 44F",South Africa,,,,,,,,,,"Bayoff, N. 1995. Observations and morphometric data on the Namaqualand Speckled Tortoise, Homopus signatus signatus (Gmelin, 1789), in South Africa. Chelonian Conservation and Biology1:215-220.",,,,,,,,,
,,,,,,Homopus,signatus,,Testudinidae,,,,,75.1,81.9,,,,93,110,,,,"Loehr, 2004; Loehr et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Homopus,signatus,,Testudinidae,,,"36M, F35",,90,110,,,,,,,,,Loehr 2002,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Homopus,signatus ssp signatus,Namaqualand speckled tortoise,Testudinidae,86,176,"1M, 1F","Springbok, Namaqualand, South Africa",,,,,,87.5,106,,"female gravid, laid one 12 gram egg one month later","Klerks, M. 2002. Adapting the Namaqualand Speckled Padloper, Homopus signatus signatus, to Captive conditions. Turtle and Tortoise Newsletter 6: 30-32.",,,,,,,,,
yes,,,,,,Homopus,solus,,Testudinidae,,,,,80.5,100,,,,88,105,,,,"Schleicher & Loehr, 2001","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Homopus ,signatus ssp signatus,Namaqualand speckled padlopers,Testudinidae,74.9,131.6,"34M, 35F","Namaqualand, South Africa",77.9,87.9,113,240.9,240.9,89.5,110,110,,"Loehr, V. 2001. Population Characteristics and Activity Patterns of the Namaqualand Speckled Padloper (Homopus signatus signatus) in the Early Spring. Journal of Herpetology 36(3):378-389.",,,,,,,,,
,yes,,,,,Hydromedusa,maximiliani,,Chelidae,380,325,58,Brazil,,,,,,,,,,"Souza, F.L., and A.S. Abe. 1997. Population structure, activity, and conservation of the neotropical freshwater turtle, Hydromedusa maximiliani, in Brazil. Chelonian Conservation and Biology 2:521-525.",,,,,,,,,
yes,,,,,,Hydromedusa,maximiliani,,Chelidae,,,"20M, F38",,198,170,,,,,,,,,Souza and Abe 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,yes,,Hydromedusa,tectifera,South American snake-headed turtle,Chelidae,1028.9,1528.63,"39M, 20F",,220,241.7,2140,2900,2900,284,306,306,note: captive raised masses,"Chinen, S., C.S. Lisboa, and F.B. Molina. 2004. Biologia Reproductiva de Hydromedusa tectifera em Cativeiro (Testudines, Chelidae). Arquivos do Instituto Biologico 71: 401-403.",,,,,,,,,
